"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
2;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
3;"G***";"Symbol-Front-USB";1;"LOGO";;;
4;",,,,";"buzzardLabel";5;"";;;
5;"REF**";"Logo-Front-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
6;"K2";"USB_A_MALE_CONNECTOR";1;"USB-A-MALE-CONNECTOR";;;
7;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
8;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
9;"K1";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
10;"";"Version1.0.0.";1;"";;;
